point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴语富阳（东梓关）方言音系
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,多,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,拖,u/a,文读/白读,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,他,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,驼,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,驮,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,陀,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,鸵,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,沱,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,舵,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,大,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,T,驮,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,N,挪,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,N,哪,a/uo,/～吒,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,N,那,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,L,罗,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,L,锣,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,L,箩,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,L,萝,ɔ,～卜,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,L,逻,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,TS,左,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,TS,佐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,TS,搓,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,TS,娑,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,歌,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,哥,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,柯,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,个,u,文读,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,轲,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,可,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,蛾,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,鹅,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,俄,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,娥,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,我,,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,K,饿,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,荷,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,河,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,何,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,荷,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,贺,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,阿,o,～弥陀佛,
FY02,富阳东梓关,太湖片-临绍小片,,,歌,Ø,屙,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,茄,ia,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,波,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,菠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,跛,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,簸,ɛ,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,簸,ɛ,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,播,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,颇,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,坡,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,玻,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,破,a,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,婆,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,P,薄,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,魔,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,磨,u/a,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,摩,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,馍,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,蘑,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,M,磨,u/a,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,朵,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,躲,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,剁,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,妥,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,椭,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,唾,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,砣,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,惰,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,垛,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,T,堕,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,N,挼,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,N,糯,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,N,懦,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,骡,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,螺,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,脶,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,啰,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,裸,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,瘰,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,L,摞,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,锉,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,莝,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,矬,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,坐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,座,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,蓑,uo,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,梭,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,唆,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,莎,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,锁,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,琐,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,TS,唢,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,过,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,锅,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,戈,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,果,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,裹,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,餜,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,过,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,科,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,窠,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,棵,u,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,髁,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,蝌,,,
FY02,富阳东梓关,太湖片-临绍小片,,,戈,K,颗,u,,
