point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,平湖县志
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,多,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,他,a,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,陀,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,沱,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,舵,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,大,u/a,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,N,挪,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,N,哪,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,N,那,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,L,萝,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,L,逻,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,TS,娑,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,柯,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,个,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,轲,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,可,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,蛾,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,鹅,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,俄,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,娥,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,我,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,～胶,
PH01,平湖城关,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,波,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,跛,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,播,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,破,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,婆,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,P,薄,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,馍,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,朵,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,躲,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,剁,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,椭,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,唾,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,砣,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,垛,,,
PH01,平湖城关,太湖片-苏沪嘉小片,,,戈,T,堕,u,,
