summary_type,group,subgroup,point_count,mean_s4_monophthong_share,median_s4_monophthong_share,mean_s0s1_merge,median_s0s1_merge,s5_monophthong_only_point_count,s5_has_monophthong_point_count
overall,all,all,82,0.5208,0.72,0.1523,0.1569,74,76
s4_map_category,e类单音化,all,8,1.0,1.0,0.1734,0.1724,8,8
s4_map_category,u/o类单音化,all,1,1.0,1.0,0.2132,0.2132,1,1
s4_map_category,ø/ɵ/y类单音化,all,6,1.0,1.0,0.1925,0.1866,6,6
s4_map_category,ɤ/ɯ类单音化,all,18,1.0,1.0,0.1803,0.167,18,18
s4_map_category,未单音化,all,29,0.0,0.0,0.1436,0.1241,24,25
s4_map_category,混合,all,20,0.4853,0.4775,0.1164,0.1116,17,18
s4_status,diphthong_or_glide_only,all,29,0.0,0.0,0.1436,0.1241,24,25
s4_status,mixed_mono_and_diphthong,all,20,0.4853,0.4775,0.1164,0.1116,17,18
s4_status,monophthong_only,all,33,1.0,1.0,0.1818,0.1744,33,33
s5_status,diphthong_or_glide_only,all,6,0.1983,0.0,0.0867,0.067,0,0
s5_status,mixed_mono_and_diphthong,all,2,0.0096,0.0096,0.1309,0.1309,0,2
s5_status,monophthong_only,all,74,0.5608,0.8432,0.1582,0.1608,74,74
s4_map_category_x_s5_status,e类单音化,monophthong_only,8,1.0,1.0,0.1734,0.1724,8,8
s4_map_category_x_s5_status,u/o类单音化,monophthong_only,1,1.0,1.0,0.2132,0.2132,1,1
s4_map_category_x_s5_status,ø/ɵ/y类单音化,monophthong_only,6,1.0,1.0,0.1925,0.1866,6,6
s4_map_category_x_s5_status,ɤ/ɯ类单音化,monophthong_only,18,1.0,1.0,0.1803,0.167,18,18
s4_map_category_x_s5_status,未单音化,diphthong_or_glide_only,4,0.0,0.0,0.1154,0.1089,0,0
s4_map_category_x_s5_status,未单音化,mixed_mono_and_diphthong,1,0.0,0.0,0.1618,0.1618,0,1
s4_map_category_x_s5_status,未单音化,monophthong_only,24,0.0,0.0,0.1475,0.1228,24,24
s4_map_category_x_s5_status,混合,diphthong_or_glide_only,2,0.5948,0.5948,0.0292,0.0292,0,0
s4_map_category_x_s5_status,混合,mixed_mono_and_diphthong,1,0.0192,0.0192,0.1001,0.1001,0,1
s4_map_category_x_s5_status,混合,monophthong_only,17,0.4998,0.4898,0.1276,0.1223,17,17
s4_status_x_s5_status,diphthong_or_glide_only,diphthong_or_glide_only,4,0.0,0.0,0.1154,0.1089,0,0
s4_status_x_s5_status,diphthong_or_glide_only,mixed_mono_and_diphthong,1,0.0,0.0,0.1618,0.1618,0,1
s4_status_x_s5_status,diphthong_or_glide_only,monophthong_only,24,0.0,0.0,0.1475,0.1228,24,24
s4_status_x_s5_status,mixed_mono_and_diphthong,diphthong_or_glide_only,2,0.5948,0.5948,0.0292,0.0292,0,0
s4_status_x_s5_status,mixed_mono_and_diphthong,mixed_mono_and_diphthong,1,0.0192,0.0192,0.1001,0.1001,0,1
s4_status_x_s5_status,mixed_mono_and_diphthong,monophthong_only,17,0.4998,0.4898,0.1276,0.1223,17,17
s4_status_x_s5_status,monophthong_only,monophthong_only,33,1.0,1.0,0.1818,0.1744,33,33
